length_3utr	gene_id
2917	ENSG00000000003
168	ENSG00000000005
265	ENSG00000000419
4082	ENSG00000000457
3715	ENSG00000000460
850	ENSG00000000938
426	ENSG00000000971
1303	ENSG00000001036
3027	ENSG00000001084
2566	ENSG00000001167
2186	ENSG00000001460
6829	ENSG00000001461
4496	ENSG00000001497
3059	ENSG00000001561
960	ENSG00000001617
1756	ENSG00000001626
4584	ENSG00000001629
1514	ENSG00000001630
1767	ENSG00000001631
2593	ENSG00000002016
487	ENSG00000002330
907	ENSG00000002549
1482	ENSG00000002586
5932	ENSG00000002587
295	ENSG00000002726
1759	ENSG00000002745
4075	ENSG00000002746
276	ENSG00000002822
5228	ENSG00000002834
2328	ENSG00000002919
295	ENSG00000002933
2074	ENSG00000003056
1095	ENSG00000003096
2989	ENSG00000003137
2521	ENSG00000003147
1798	ENSG00000003249
3965	ENSG00000003393
5484	ENSG00000003400
17629	ENSG00000003402
2804	ENSG00000003436
1585	ENSG00000003509
3622	ENSG00000003756
2693	ENSG00000003987
5427	ENSG00000003989
406	ENSG00000004059
8227	ENSG00000004139
940	ENSG00000004142
1703	ENSG00000004399
4199	ENSG00000004455
5026	ENSG00000004468
2479	ENSG00000004478
325	ENSG00000004487
2673	ENSG00000004534
2643	ENSG00000004660
1283	ENSG00000004700
6148	ENSG00000004766
1110	ENSG00000004776
508	ENSG00000004777
1041	ENSG00000004779
2142	ENSG00000004799
669	ENSG00000004809
844	ENSG00000004838
4505	ENSG00000004846
976	ENSG00000004848
1137	ENSG00000004864
3379	ENSG00000004866
5494	ENSG00000004897
2073	ENSG00000004939
2831	ENSG00000004948
1268	ENSG00000004961
524	ENSG00000004975
866	ENSG00000005001
1719	ENSG00000005007
2604	ENSG00000005020
261	ENSG00000005022
1134	ENSG00000005059
1286	ENSG00000005073
792	ENSG00000005075
4944	ENSG00000005100
1559	ENSG00000005102
5437	ENSG00000005108
5964	ENSG00000005156
2256	ENSG00000005175
674	ENSG00000005187
2197	ENSG00000005189
1299	ENSG00000005194
4147	ENSG00000005206
1109	ENSG00000005238
987	ENSG00000005243
2229	ENSG00000005249
3943	ENSG00000005302
2874	ENSG00000005339
1249	ENSG00000005379
800	ENSG00000005381
2061	ENSG00000005421
4658	ENSG00000005436
98	ENSG00000005448
2064	ENSG00000005469
2081	ENSG00000005471
5771	ENSG00000005483
1554	ENSG00000005486
1593	ENSG00000005513
4895	ENSG00000005700
2927	ENSG00000005801
836	ENSG00000005810
1891	ENSG00000005812
2683	ENSG00000005844
2055	ENSG00000005882
2886	ENSG00000005884
4879	ENSG00000005889
3954	ENSG00000005893
184	ENSG00000005961
2899	ENSG00000005981
3466	ENSG00000006007
290	ENSG00000006015
329	ENSG00000006016
2508	ENSG00000006025
3547	ENSG00000006042
431	ENSG00000006047
27	ENSG00000006059
2012	ENSG00000006062
10278	ENSG00000006071
938	ENSG00000006116
1689	ENSG00000006118
5703	ENSG00000006125
552	ENSG00000006128
4570	ENSG00000006194
2367	ENSG00000006210
3017	ENSG00000006282
3286	ENSG00000006283
688	ENSG00000006327
992	ENSG00000006377
7854	ENSG00000006432
2090	ENSG00000006451
1870	ENSG00000006453
6838	ENSG00000006459
5032	ENSG00000006468
3924	ENSG00000006530
2818	ENSG00000006534
2526	ENSG00000006555
4086	ENSG00000006576
160	ENSG00000006606
5858	ENSG00000006607
842	ENSG00000006611
1160	ENSG00000006625
3176	ENSG00000006634
1182	ENSG00000006638
3081	ENSG00000006652
131	ENSG00000006659
2534	ENSG00000006695
1307	ENSG00000006704
365	ENSG00000006712
3679	ENSG00000006715
3535	ENSG00000006740
801	ENSG00000006744
7886	ENSG00000006747
3555	ENSG00000006756
2439	ENSG00000006757
86	ENSG00000006788
2606	ENSG00000006831
1796	ENSG00000006837
1264	ENSG00000007001
927	ENSG00000007038
3668	ENSG00000007047
2859	ENSG00000007062
276	ENSG00000007080
809	ENSG00000007129
4066	ENSG00000007168
480	ENSG00000007171
1221	ENSG00000007174
1756	ENSG00000007202
2613	ENSG00000007216
6619	ENSG00000007237
334	ENSG00000007255
213	ENSG00000007264
1489	ENSG00000007306
486	ENSG00000007312
