seqnames	start	end	width	strand	gene_id
1	70009	71585	1577	+	ENSG00000186092
1	450703	450739	37	-	ENSG00000284733
1	685679	685715	37	-	ENSG00000284662
1	942696	943058	363	+	ENSG00000187634
1	943253	943377	125	+	ENSG00000187634
1	943698	943808	111	+	ENSG00000187634
1	943908	944581	674	+	ENSG00000187634
1	944204	944693	490	-	ENSG00000188976
1	963387	963504	118	+	ENSG00000187961
1	963920	964008	89	+	ENSG00000187961
1	964107	964167	61	+	ENSG00000187961
1	964349	964530	182	+	ENSG00000187961
1	964963	965715	753	+	ENSG00000187961
1	974576	975108	533	+	ENSG00000187583
1	975712	975865	154	+	ENSG00000187583
1	975204	976171	968	-	ENSG00000187642
1	998962	999058	97	-	ENSG00000188290
1	1014479	1014541	63	+	ENSG00000187608
1	1054982	1056118	1137	+	ENSG00000188157
1	1070966	1071816	851	-	ENSG00000237330
1	1081818	1082987	1170	-	ENSG00000131591
1	1083915	1084383	469	-	ENSG00000131591
1	1084481	1084506	26	-	ENSG00000131591
1	1085878	1086012	135	-	ENSG00000131591
1	1087139	1087204	66	-	ENSG00000131591
1	1087502	1087597	96	-	ENSG00000131591
1	1090353	1091149	797	-	ENSG00000131591
1	1185143	1185864	722	+	ENSG00000162571
1	1196449	1196488	40	+	ENSG00000162571
1	1196600	1196716	117	+	ENSG00000162571
1	1197093	1197186	94	+	ENSG00000162571
1	1197438	1197475	38	+	ENSG00000162571
1	1197848	1197935	88	+	ENSG00000162571
1	1203508	1203843	336	-	ENSG00000186891
1	1211326	1211554	229	-	ENSG00000186827
1	1216908	1217804	897	-	ENSG00000078808
1	1218458	1218620	163	-	ENSG00000078808
1	1233269	1235041	1773	+	ENSG00000176022
1	1242453	1242547	95	-	ENSG00000184163
1	1253909	1255487	1579	-	ENSG00000160087
1	1256045	1256125	81	-	ENSG00000160087
1	1256992	1257130	139	-	ENSG00000160087
1	1257208	1257310	103	-	ENSG00000160087
1	1262170	1262259	90	-	ENSG00000160087
1	1262269	1262390	122	-	ENSG00000160087
